year,Subject code,forfatternavn
1680,"35,-170","Resen, Peder Hansen"
1853,"14,-50","Sibbern, Gabriel."
1881,"55,-48","Brun, M. V."
1898-1900,"34:3,-329","Siersted, Theodor."
1876,"15,-100","Feddersen, Arthur."
1832,"37,-218","Sibbern, Frederik Christian."
1834,"34:1,-315","Kruse, E. A. F."
1833,"34:2,-280","Lundberg, N."
1847,"2,-7","Holberg, Diderik August."
1842,"47,-278","Hjort, Peder."
1853,"17,-174","Bournonville, August."
1896,"17,-169","Lenzing, Karl."
1860,"17,-190",Urbano.
1832,"17,-172","Bournonville, August."
1836,"17,-180","Galeotti, Vincenzo."
1843,"60,-207","Schandorff, C. C."
1857,"34:4,-143","Wichfeld, J."
1812,"47,-171","Birch, David Seidelin."
1775,"55,-35","Biehl, Charlotta Dorothea."
1852,"48,-27","Birch, F. C. C."
1815,"35,-143","Behrmann, Henrik."
1895,Særtrykssamlingen,"Ditlevsen, Johan Gottlob."
1848-1863,"57,-253","Rumohr, Theodor Vilhelm Kjerstrup."
1889,"57,-174","Janson, Kristofer."
1849,"54,-78","Werniche, Adolph."
1831,"54,-52","Thaarup, Thomas."
1882,"57,-205","Lie, Jonas."
1879,"57,-205","Lie, Jonas."
1856,"3,-449","Bagger, Erh."
1883,"57,-189","Kielland, Alexander L."
1781,"59,-88",Løyer.
1771,"59,-227","Bynch, Josias Leopold."
1860,"6:1,-38","Asmussen, M. C."
1897,"57,-193","Krag, Thomas Peter."
1899,"57,-193","Krag, Vilhelm."
1727,"33,-395","Lønborg, Hans."
1784,"33,-439","Møller, Sør."
1794,"33,-81","Niemann, J. L."
1789,"34:1,-3","Morville, Niels."
1883-1885,"48,-44",Homeros.
1837,"48,-43",Homeros.
1837,"48,-81",Theokritos.
1895,"49,-109","Thillerup, Fr."
1890-1891,"48,-62",Pindaros.
1873,"30:1,-97","Ussing, J. L."
1840,"48,-24",Euripides.
1813,"1,-337","Sommer, Magn."
1829,"4,-309","Thornum, Niels Jensen Kristiansen."
1824-1832,"2,-239","Rønne, Bone Falch."
1802,"3,-444","Niemeyer, August Hermann."
1829,"3,-236","Lindberg, Jac. Chr."
1816,"2,-119","Münter, Frederik."
1803,"3,-38","Stibolt, Andreas Henrik."
1818,"4,-304","Smith, Daniel."
1821,"6:2,-66","Møller, Jens."
1813,"2,-48","Nathanson, Mendel Levin."
1695,"5,-205","Warnmarck, Peder Olofsen."
1806,"7,-73","Wøldike, Andr."
1818,"34:2,-37","Müller, Erik Christian."
1820,"34:2,-37","Stephensen, A."
1841,"23,-75","Grüner, Haldur R."
1862,"37,-369","Krönicke, Johan."
1866,"37,-306","Tang, J. T. A."
1864,"37,-465","Johansen, Niels."
1880,"34,4-285","Madsen, C. L."
1884,"47,-323","Funch, Cl."
1866,"32,-202","Hannover, Adolph."
1874,"18,-152","Hansen, Chr."
1894,"23,-66","Hansen, Chr."
1822,"15,-181","Hallager, Morten."
1800,"14,-251","Hallager, Morten."
1879,"15,-170","Winther, Christian."
1898,"18,-151","Hansen, Chr."
1899,"18,-151","Hansen, Chr."
1898,Særtrykssamlingen,"Hansen, Søren."
1877,"18,-181","Hansen, Chr."
1881,"15,-181","Hallager, M."
1870,"18,-152","Hansen, Chr."
1886,Særtrykssamlingen,"Hansen, Søren."
1888,"18,-152","Hansen, Chr."
1874,"23,-111","Hansen, E."
1888,"23,-97","Hannover, Emil."
1626,"4,-42","Palladius, Niels."
1677,"45,-242",Christen S. H.
1789,"37,-99","Boye, Birgitte Catharine."
1808,"6:1,-85","Brasen, Ole."
1687,"4,-237","Bording, Anders."
1759,"55,-131","Hoppe, Peder."
1892,Særtrykssamlingen,"Schmiegelow, E."
1799,"55,-29","Bang, Balthasar."
1795,"56,-386","Sarti, Jos."
1764,"57,-413","Gesner, Salom."
1792,"57,-86","Balling, Emanuel."
1772,"57,-274","Suhm, P. F."
1779,"56,-25","Gerstenberg, Heinrich Wilhelm von."
1893,"35,-124","Lange, Jul."
1871,"10,-195","Krabbe, H."
1899,"52,-95","Larsen, Jørgen."
1888,"5,-117","Lamennais, H. F. R. de."
1850,"4,-276","Kingo, Thomas."
1838,"46,-207","Kruuse, Pt. mandrup."
1895,"46,-105","Lassen, Vilhelm."
1826,"34:1,-173","Krüger, Carl Gottfr."
1871,"25,-12","Krabbe, H."
1892,"58,-297","Lalaing, Sofie de."
1867,"22,-55","Lange, Joh."
1870,"53,-343","Kaalund, H. V."
1851,"15,-245","Rosenhoff, Claudius."
1855,"6:2,-66","Møller, J. L."
1836,"6:2,-94","Paulli, J. H."
1847,"6:2,-31","Martensen, H."
1845,"2,-228","Michelsen, C."
1864,"6:2,-65","Møller, Frederik Benedikt."
1859,"6:2,-57","Müller, Jul."
1851,"4,-215","Grundtvig, N. F. S."
1846,"55,-129","Holst, H. P."
1842,"37,-271","Grundtvig, N. F. S."
1882,"28,-156","Lorenzen, M."
1860,"15,-187","Frølund, Fred."
1865,"38,-56","Kofoed-Hansen, H. P."
1888,"13,-229","Fournier, Alfred."
1893,"13,-144","Jørgensen, Axel."
1864,"38,-61","Krebs, F. C."
1897,"13,-216","Hallager, Fr."
1866,"38,-73","Christensen, C."
1873,"38,-87","Ottesen, H."
1866,"38,-72","Brinck-Seidelin, Johan Christian."
1880,"10,-207","Hannover, Adolph."
1876,"38,-92","Bøgh, Erik."
1872,"38,-85","Fibiger, J."
1873,"17,-352","Høegh-Guldberg, Chr."
1842,"11,-117","Ossiander, J. L."
1898,"2,-250","Hertel, L."
1878,"18,-159","Jacobsen, F."
1866,"24,-72","Holt, P."
1857,"52,-88","Holm, P. E."
1865,"6:1,-207","Hindberg, E. G. A."
1860-1863,"31,-25","Hjort, Vilhelm Billeskov."
1888,"52,-87","Helms, Johs."
1855,"48,-43",Homer.
1884,"57,-408c","Frey, W."
1896,"15,-276","Eriksen, Vilhelm."
1872,"15,-172","Rosendal, P."
1851,"15,-245","Mindekjær, Ernst."
1892,"57,-480","Relten, W."
1871,"15,-222","Durloo, H. P."
1868,"15,-259",Elisif.
1892,"15,-274","Moe, Louis."
1875,"57,-482","Rudorff, E."
1876-77,"57,-487","Schirmer, Adolf."
1831,"57,-488","Schopenhauer, Johanna."
1781,"45,-77","Busch, Jens Erreboe."
1758,"45,-225","Lindgren, Jon."
1893-1895,"47,-250","Christensen, F."
1836,"15,-185","Jensen, Thomas."
1749,"36,-191","Hersleb, Peder."
1829,"17,-365","Cramer, A."
1821,"8,-145","Baden, Gust. Ludv."
1823,"12,-82","Møller, Jacob."
1805,"17,-375","Nachtegall, Vivat Victorius Fridericus Franciscus."
1830,"15,-122","Lütken, Chr."
1820,"19,-67","Ursin, Georg Frederik."
1801,"15,-182","Rochow, Friderich Eberhard von."
1824,"18,-130","Raben, Niss Chr."
1854,"57,-301","Verdelin, Engelline Marie."
1837,"58,-339","Liunge, Andreas Peter."
1830-31,"57,-498","Spindler, Carl."
1839,"57,-373ah","Knorring, S. M. v."
1833-34,"58,-366","Philipp, Rasmus."
1839,"58,-168","Swift, Jonathan."
1831 eller 1832,"60,-60","Madsen, Jens."
1896,"20,-165","Petersen, J."
1887,"41:2,-206","Personne, John."
1879,"5,-16","Rothe, P. C."
1899,"47,-185","Pinholt, J. Gr."
1809,"37,-179","Høegh-Guldberg, Fred."
1830,"53,-390","Møller, Christian."
1868,"2,-209","Zahle, Sophus."
1832,"18,-367","Ursin, Georg Frederik."
1885,Særtrykssamlingen,"Holm, Th."
1887,"57,-213","Madsen, Oscar."
1853,"13,-100","Eschricht, Dan. Fred."
1868,"34:1,-273","Karup, W. I."
1877,"16,-201","Nielsen, Chr."
1869,"16,-196","Stuckenberg, Fr."
1832,"28,-46","Thornum, N. J. K."
1899,"32,-341","Rüdinger, F."
1741,"6:2,-41","Medelby, Pouel Andersøn."
1743,"4,-189","Kingo, Thomas."
1751,"1,-377","Lassenius, Johan."
1703,"18,-114","Matthiesen, Søren."
1772,"9,-137","Lowum, Jens Chr."
1631,"4,-119","Kegel, Philipp."
1744,"4,-189","Kingo, Thomas."
1873,"14,-277","Rasmussen, Mads."
1875,"31,-137","Lorange, A."
1870,"31,-123","Steenstrup, Japetus."
1831,"46,-106","Jelstrup, Anne Margr."
1837,"35,-178","Hanck, Johan Hendrik Trützchler."
1833,"45,-271","Berg, Hans Broge."
1835,"34:3,-217","Schaarup, G."
1838,"44,-33","Schønberg, Jørg. Joh. Albr. v."
1840,"46,-22","Wegner, M."
1833,"34:3,-209","Olsen, Christen."
1838,"45,-79","Smith, Andreas Niels Christopher."
1838,"46,-306","Hansen, Jens Andersen."
1836,"42,-167","Paludan-Müller, Caspar."
1840,"34:3,-135","Suhr, J ochum Evans ."
1888,"35,-89","West, J. C."
1852,"37,-437","Thønnesen, Th. J."
1890,"37,-409","Vaupell, Otto."
1849,"37,-390","Wernich, A. T."
1861,"35,-93","Worsaae, J. J. A."
1866,"38,-72","Thiers, Adolph."
1848,"37,-378","Wegener, C. F."
1880,"38,-98","Therkildsen, Anders."
1868,"35,-93","Vedel, Emil."
1874,"35,-116",Ælnoth.
1883,"37,-409","Tuxen, C. F. F. E."
1886,"5,-192","Sørensen, Th."
1833,"6:1,-19","Heger, Hans Chr."
1845,"40:2,-522","Helweg, Hans Friedr."
1851,"37,-438",Innotabilis.
1858,"37,-449","Rosenberg, C. F. W. M."
1881,"5,-232","Forstmann, G. W."
1894,Særtrykssamlingen,"Møller, H. L."
1844,"45,-191","Momme, O. P."
1858,"2,-19","Poulsen, A. Chr."
1894,"17,-335","Dessau, D."
1893,"31,-179","Andersen, O."
1870,"30:1,-62","Grundtvig, N. F. S."
1875,"32,-148","Andersen, Carl."
1886,"34:1,-131","Secher, V. A."
1874,"57,-89","Bennet, Silvia."
1774,"34:4,-270","Müller, Frantz Henr."
1860,"9,-404","Wolff, Adolph Frid."
1829,"34:1,-344","Hiorhøy, Anth. Fr."
1837,"9,-31","Bobjerg, L. F."
1803,"47,-95","Borch, Casp. Abr."
1775,"3,-378","Borchsenius, Willads."
1749,"36,-189","Bork, Hans Alexandersøn."
1824,"48,-216","Blumauer, Aloys."
1778,"32,-336","Biehl, Charlotta Dorothea."
1802,"10,-350","Bichat, Xaver."
1861,"46,-52","Ripperda, F. von."
1880,"34:3,-79","Goos, C."
1766,"37,-22","Bie, Jacob Christian."
1845,"53,-343","Kaalund, Hans Vilh."
1860,"55,-103","Holberg, Ludvig."
1897,"25,-77","Faber, Harald."
1790,"3,-37","Steenvinkel, Peter Christian."
1784,"3,-36","Lavater, J. C."
1745,"3,-32","Lodde, Barth. Jo."
1764,"3,-123","Ewald, Johannes."
1798,"15,-164","Rasmussen, Thomas."
1889,"3,-398","Luther, Martin."
1898,"15,-278","Hansen, C. Asschenfeldt."
1899,"15,-278","Pinholt, J. Gr."
1897,"15,-278","Vollmar, A."
1893,"15,-275","Singer, Margrethe."
1889,"57,-205","Lie, Jonas."
1843,"56,-132","Byron, George Gordon."
1895,"23,-64","Nehm, V."
1773,"8,-115","Pind, Ole."
1800,"8,-51","Schlegel, J. F. W."
1793,"6:2,-239","Volchersen, Abraham."
1679,"7,-127","Bagger, Hans"
1780,"44,-63","Jacobi, Chr. Frid."
1674,"44,-103","Friis, Peder Sigfridssøn."
1768,"44,-157","Nysum, J."
1884,"58,-161","Smollet, Tobias."
1868,"58,-173","Thackeray, C."
1864,"12,-329","Bérard, N."
1849,"12,-253","Hjaltelin, J."
1833,"12,-252","Stockfleth, F. W."
1899,"58,-166","Stretton, Hesba."
1844,"58,-177","Trollope, Frances."
1892,"58,-147","Russel, W. Clark."
1897,"12,-177","Bornemann, A."
1899,"58,-155","Scott, Walter."
1899,"58,-175","Townley, Hughton."
1892,"58,-149","Savage, Richard Henry."
1879,"12,-304","Bloch, Oscar."
1852,"12,-227","Christensen, Mads."
1892,"12,-179","Hansen, Søren."
1854,"58,-173","Thackeray, William Makepeace."
1749,"42,-47","Bering, Vitus."
1873,"15,-172","Bredsdorff, Chr."
1897,"2,-10","Bredsdorff, Chr."
1891,"57,-220","Møller, Louis."
1893,"57,-206","Meldgaard, A. J."
1871,"54,-86","Winther, Christian."
efter 1841,"54,-69","Udtberg, J. C."
1858,"57,-228","Nielsen, Henriette."
1879,"57,-220","Moulin, Louis."
1875,"54,-86","Winther, Christian."
1884,"54,-38","Steenstrup, Carl."
1796,"34:3,-283","Ager, P."
1797,"46,-137","Aarflodt, Sivert Knudsen."
1785,"46,-143","Schiern, H. B."
1652,"46,-215",Frederik
1696,"46,-202","Rose, Christian."
1718,"41:2,-65","Landsberg, B. N. von"
1643,"42,-122","Mikkelsen, Ludvig"
1608,"42,-168","Arctander, Niels Lauridsen."
1643,"42,-122","Hindsholm, Hans Jacobsen."
1876,Særtrykssamlingen,"Stephens, George."
1856,"31,-168","Worsaae, J. J. A."
1798,"57,-494","Sintenis, Chr. Fr."
1867,"34:2,-287","Thorup, C. E."
1862,"57,-374z","Topelius, Zacharias."
1868,"23,-320","Thaarup, Sørine."
1858,"2,-101","Tang, I. T. A."
1882,"53,-362",Terndrup-Lindner.
1867,"4,-136","Sommer, M. A."
1773,"41:2,-186","Michelessi,  Domenico ."
1745,"30:1,-32","Holberg, Ludvig."
1794,"30:2,-122","Dumouriez, Claude Franç."
1769,"30:2,-210","Schlözer,  Aug. Ludw. ."
1793,"30:1,-59","Petersen, Henrik."
1743,"28,-137","Haven, Peder von."
1798,"30:1,-60","Just, Anton Franz."
1795-1798,"30:2,-78","Eggers, Christian Ulrich Detlev von."
1790,"30:2,-81",Eleutherius Philoceltes.
1794,"30:1,-59","Petersen, Henrik."
1789,"41:2,-206","Loenbom, Samuel."
1797,"44,-43","Riegels, Niels Ditlev."
1611,"44,-105","Winther, Christen Christensen."
1657,"44,-144","Bartskær, Johan Dideriksen."
1795,"44,-51","Gudenrath, Jac. Just."
1798,"44,-43","Heiberg, P. A."
1650,"42,-168","Winstrup, Peder."
1774,"41:1,-205","Gram, Jens."
1799-1802,"28,-86","Vancouver, Georg."
1831,"28,-43","Kofod, Hans Ancher."
1839,"21,-234","Schiødte, J ørg.  C hr. ."
1836,"21,-97","Schouw, Joach. Fred."
1839-64,"30:1,-13","Riise, Joh. Chr."
1833,"25,-25",Széchenyi.
1832,"30:1, 7","Bastholm, Hans."
1840,"14,-365","Franklin, Benjamin."
1840,"16,-126","Garve, Christian."
1834,"17,-235","Hoffmann, Georg Rasm. Fred."
1798,"15,-181","Thieme, Karl Traugott."
1797,"15,-213","Wøldike, Andreas."
1817,"30:1,-61","Rasmussen, A. C."
1641,"10,-345","Pedersen, Jens."
1755,"14,-292","Kortholt, Christian."
1780,"14,-401",Tor-Stensen.
1776,"15,-135","Fénélon, François de Salignac de la Mothe."
1880,"53,-204","Bergh, P. E."
1892,"1,-498","Fløystrup, C. E."
1862,"30:2,-103","Wolff, August."
1888,"30:2,-94","Thiers, Adolph."
1838,"46,-196","Thaarup, E. L."
1893,"30:2,-49a","Tait, Katharine."
1853,"30:2,-103","Rohmann, J. L."
1839,"30:2,-89","Høst, Alvild Th."
1887,"28,-111","Heine, Heinrich."
1842-45,"30:2,-79","Thiers, Adolph."
1898-99,"30:2,-66",Joinville.
1885,"30:1,-215","Petersen, N."
1895,"46,-205","Falkenstjerne, F."
1844,"45,-204","Rothe, Conr."
1854,"30:2,-90","Hansenmeyer, D."
1831-50,"46,-181","Thiele, J. M."
1799,"41:1,-221","Holst, Christ."
1797,"42,-180","Balle, Nic. Edinger."
1792,"41:1,-213","Thaarup, Fredr."
1887,"45,-50","Brandt, A. F."
1869,"1,-514","Luther, Martin."
1886,Særtrykssamlingen,"Lütken, Chr. Fr."
1888,"44,-121","Jæger, Henrik."
1881,"57,-116",Diodoros.
1852-54,"58,-433","Thisted, Valdemar."
1883,"57,-124","Ewald, H. F."
1868,"57,-123","Ewald, H. F."
1877,"57,-126","Fibiger, Elfride."
1870,"57,-123","Ewald, H. F."
1883,"57,-123","Ewald, H. F."
1880,"57,-124","Ewald, H. F."
1829-1832,"47,-432","Borring, Lauritz Stephan."
1861,"47,-435","Borring, L. S."
1893,"47,-439","Laub, V."
1872-1873,"47,-446","Sick, Chr."
1895-1897,"47,-440","Prahl, Samuel."
1883,"47,-437","Jung, C. F."
1899,"47,-436","Pio, Jean."
1856,"47,-453","Fistaine, G."
1890,"47,-439","Michelsen, Carl."
1882,"58,-178","Twain, Mark."
1875,"58,-178","Twain, Mark."
1890,"58,-178","Twain, Mark."
1882,"53,-279","Gjellerup, Karl."
1876,"35,-126","Krarup, Fred."
1867,"47,-378","Jørgensen, H."
1856,"20,-31","Jonas, S. F."
1879,"42,-62","Jordening, Carl A."
1867,"23,-96","Klein, V."
1884,Særtrykssamlingen,"Israel, Emil."
1897,"4,-226b","Winter, S."
1892,Særtrykssamlingen,Finnur Jónsson.
1880,"32,-340","Jørgensen, H. C."
1870,"20,-256","Irminger, C."
1881,"21,-131","Jungersen, H. F. E."
1862,"37,-155","Jomtou, J."
sa,"53,-374","Halling, Ove."
1811,"56,-374","Da Ponte, Lorenzo."
1893,"16,-112","Key, Gustaf."
1894,"4,-7","Krarup, F. C."
1850,"46,-314","Mynster, Jac. Pt."
1666,"4,-184","Cassuben, Christian."
1887,"30:1,-270","Schumann, Robert."
1792,"31,-179","Münter, Frederich Christian Carl Hinrich."
1758,"30:2,-330","Pombal, Carvalho Marq. de."
1785,"34:3,-25","Malling, Ove."
1730,"32,-100","Brasen, Jens."
1891,"5,-239",Aschenfeldt-Hansen.
1856,"58,-353","Sue, Eugène."
1854,"58,-353","Sue, Eugène."
1846,"58,-340","Sand, George."
1871,"58,-183","Wood, Henry"
1847,"58,-345","Soulié, Frederik."
1893,"2,-242b","Sthyr, H. V."
1826,"45,-118","Boisen, Ped. Outzen."
1878,"15,-192","Boock, P."
1867,"43,-109","Fogh, C."
1821,"59,-32","Grimm, Jacob."
1810,"59,-165","Wium, Hans Ewerthsen."
1830,"57,-59","Aagaard, Jens Andr."
1801,"56,-292","Pigault Lebrun, Guillaume Charles Ant."
1823,"57,-196","Kruse, L."
1807,"59,-90","Høst, Joh. Nik."
1811,"56,-49","Kotzebue, A. v."
1818,"59,-166","Hallager, Christlieb Buch."
1822,"57,-182","Irgens, Hanna."
1809,"56,-48","Kotzebue, A. v."
1819,"56,-236","Gaugiran-Nanteuil, Charles."
1800-1801,"57,-407","Fink, Wilh."
1833,"59,-241","Tengnagel, Carl Chr. Barnewitz."
1871,"57,-374q","Starbäck, Georg."
1874,"58,-357","Töpffer, Rudolph."
1874-1875,"34:2,-23","Erslev, Kr."
1822,"32,-275","Høst, Joh. Nik."
1763,"54,-64","Tullin, Chr. Br."
1794,"44,-96","Wandall, Peder Topp."
1742,"6:2,-207","Thura, Albert."
1797,"54,-52","Thaarup, Thomas."
1739,"54,-78","Werløes, Peter."
1792,"28,-41","Sommerfeldt, Christian."
1897,"42,-137","Slomann, Emil."
1606,"17,-111","Jespersen, Niels."
1743,"1,-130","Brink, Iver."
1735,"6:2,-125","Rostok, Mads Pedersøn."
1793,Særtrykssamlingen,"Abildgaard, P. C."
1783 ie 1784?,"4,-195","Harboe, Ludvig."
1743,"2,-22","Beck, Peder Nielsen."
1798,"6:1,-77","Boisen, Ped. Outzen."
1830,"3,-62","Luther, Martin."
1779,"5,-359","Rittmeier, Johannes."
1702,"3,-49","Sigvart, Jo. Geo."
1761,"53,-209","Biering, Christian Gormsen."
1710,"54,-65","Tvilling, Søfren Hansen."
1738,"53,-16","Schlott, Nathanael."
1727,"14,-173","Schramm, Ion. Conr."
1788,"47,-101","Baden, Jacob."
1806,"34:2,-355","Krog, Gierlev Christian."
1882,"27,-365","Edsberg, V."
1834,"56,-295","Planard, François Antoine Eugène de."
1834,"52,-93","Jørgensen, Steph."
1831,"48,-42",Homer.
1835,"52,-41","Obel, P."
1872,"2,-9","Hansen, Chr."
1844,"58,-226","Bernard, Charles de."
1854,"58,-217",Ancelot.
1847-48,"58,-117","Lever, Charles."
1852-53,"58,-117","Lever, Charles."
1772,"54,-222","Kleist, Heinr. von."
1746,"53,-399","Nyegaard, Thor Andersen."
1783-1785,"31,-11","Sandvig, Bertel Christian."
før 1756,"53,-408",Philedor.
1795,"52,-132","Høst, Jens Kragh."
1793,"53,-237","Schwindt, Hans Jacob."
1785-1790,"53,-110","Riber, Hans Vilhelm."
1897,"18,-48","Madsen, V. H. O."
1894,"20,-168","Nielsen, Chr. V."
1861,"18,-56","Møller, C. F. C."
1868,"18,-47","Steen, Adolph."
1870,"18,-48","Hauschultz, R."
1890,"18,-95","Crone, C."
1877,"34:3,-429","Kyhn, V."
1877,"18,-48","Borgen, Victor."
1859,"18,-47","Steen, Adolph."
1866,"18,-47","Bie, L. H."
1855,"17,-225","Greve, F. R."
1884,"18,-30","Svendsen, S."
1857,"18,-11","Jürgensen, Chr."
1879,"20,-168","Krarup Hansen, C. J. L."
1875,"43,-56","Køster, Kristian."
1757,"29,-105","Lindegaard, Erasm."
1711,"30:1,-159","Holberg, Ludvig."
1774,"41:2,-164","Coyet, W. J."
1880,"34:4,-389","Feddersen, A."
1883,"34:4,-382","Feddersen, A."
1807,"56,-221","Etienne, Charles Guillaume."
1845,"6:1,-132","Engelbreth, W. F."
1891,"21,-211","Feddersen, Arthur."
1849,"41:2,-198","Forchhammer, G."
1875,"26,-144","Feddersen, Arthur."
1887,Særtrykssamlingen,"Fjelstrup, Aug."
1868,"4,-249","Engelbretsdatter, Dorthe."
1854,"3,-72","Engelbreth, W. F."
1887,"46,-15",Ingeman-Petersen.
1809,"47,-208","Høegh-Guldberg, Fr."
1878,"23,-340","Mangor, A. M."
1865,"31,-131","Worsaae, J. J. A."
1813,"23,-115","Bergsøe, Johan Frederik."
1877,"56,-154","Swinburne, Algernon Charles."
1894,"57,-389","Betzhold, M."
1859,"57,-458","Mühlbach, Louise."
1876,"57,-453","Marlitt, E."
1840,"57,-474","Pichler, Caroline."
1881,"57,-453","Marlitt, E."
1880,"56,-152","Shakespeare, William."
1878,"57,-466","Möllhausen, Balduin."
1897-98,"57,-405","Eschstruth, Nataly von."
1851,"57,-535","Köhler, Ludvig."
1850,"56,-319",Scribe.
1884-1885,"11,-173","Sørensen, Th."
1836,"56,-317",Scribe.
1870,"11,-112","Smith, Henrik."
1860,"57,-459","Mühlbach, Luise."
1880,"57,-411","Gaudy, Frants."
1860,"57,-457","Mügge, Theodor."
1874,"56,-272","Sundby, Thor."
1887,"56,-151","Shakespeare, William."
1859,"57,-458","Mühlbach, Louise."
1808,"48,-133","Curtius Rufus, Quintus."
1893,"58,-367","Horten, Sofie."
1897,"58,-274","Forge, H. S. de."
1877,"58,-407","Gontscharoff, J."
1843,"58,-393","Foscolo, Ugo."
1842-43,"58,-291","Kock, Paul de."
1838,"58,-248","Ducange, Victor."
1846,"58,-267","Féval, Paul."
1883,"58,-309","Maupassant, Guy de."
1899,"30:2,-206","Aho, Juhani."
1898-99,"58,-253","Dumas père, Alexander."
1865,"58,-291","Kock, Paul de."
1855,"58,-310","Mérimée, Prosper."
1884,"58,-282","Gréville, Henry."
1870,"31,-39","Barfod, Frederik."
1871,"35,-89","Tang, J. T. A."
1890,"34c,-422","Kapel, O. F. V."
1749,"52,-201","Finkenhagen, Johannes."
1853,"14,-277",Le Normand.
1874,"31,-112","Boye, Vilhelm."
1865,"14,-450",Hekel.
1866,"14,-278",Cyprianus.
1870-75,"30:2,-105","Schmidt, Harald."
1877,"14,-277","Rasmussen, Mads."
1895,"24,-86","Jørgensen, L."
1891,"44,-45","Heiberg, P. A."
1889,Særtrykssamlingen,"Heiberg, Vilh."
1876,"6:1,-210","Hoff, V. J."
1895,"5,-232","Forstmann, G. W."
1877-78,Særtrykssamlingen,"Gigas, Emil."
1880,"46,-183","Gigas, Emil."
1863,"47,-177","Mørch, G."
1795,"42,-272","Klingberg, Christian."
1725,"42,-284","Anchersen, J. P."
1784,"42,-183","Pram, Christen Henriksen."
1604,"42,-190","Arctander, Niels Lauridsen."
1621,"42,-275","Hemmet, Iver Iversen."
1797,"43,-27","Riegels, Niels Ditlev."
1795,"42,-267","Sand, Chr. Chr."
1772,"42,-296",Rosentorne.
1891,"53,-373","Madsen, Oscar."
1821,"52,-55","Liunge, Andreas Peter."
1749,"36,-194","Falster, Christian."
1798,"33,-277","Krag, Fr. Chr."
1849,"6,1-245","Kierkegaard, S."
1843,"14,-87","Kierkegaard, Søren."
1716,"54,-36","Sorterup, Jørgen."
1844,"18,-327","Hetsch, Gustav Fred."
1883,"15,-268","Tuxen, Fanny."
1740,"4,-270","Jens-Daatter, Kirsten."
1768,"6:2,-111","Rafn, Caspar."
1709,"5,-32","Bang, Hans."
1805,"5,-153","Paterson, J."
1802,"6:2,-42","Meden, Andr. Pet."
1846,"40:2,-127","Buchwald, H. E. v."
1865,"47,-113","Toepfer, J."
1899,"57,-118","Drachmann, Holger."
1889,"5,-62","Dennett, Edward."
1891,"52,-75","Bøgh, Erik."
1893,"6:1,-123","Decoppet, A."
1877,"25,-52","Buus, N. P. J."
1884,"44,-124","Damgaard, A."
1849,"53,-27","Henrichsen, R. J. F."
1892,"5,-62","Deigaard, Nicoline."
1894,"6:1,-101","Bøggild, N."
1895,"6:1,-126","Dowie, John Alexander."
1891,"38,-114","Dinesen, Lars."
1844,"47,-270e","Busch, V."
1867,"3,-175","Dempster, John."
1872-79,"32,-35","Trap, J. P."
1870,"32,-45","Grove, P. V."
1883,"59,-100",Humleberg.
1859,"15,-188","Jørgensen, Jørg."
1889,"22,-112","Jensen, Hjalmar."
1886,"5,-102","Jensen, Christen."
1893,"2,-120","Jensen, Henning."
1871,"20,-123","Jacobsen, A."
1869,"22,-227","Jespersen, M."
1857,"30:1,-176","Ingerslev, C. F."
1868,"4,-60","Jensen, Hans."
1890,"5,-102","Jensen, Jens."
1889,"30:1,-209","Ingerslev, A."
1815,"28,-44","Bork, Ole."
1742,"44,-233","Lassen, Niels Rasmussøn."
1793,"44,-251","Leyen, Poul Sam."
1621,"44,-285","Resen, Hans Poulsen."
1888,"25,-76","Krohn, K."
1894,"25,-93","Erslev, Hans."
1853,"25,-58","Conradsen, Th."
1893,"25,-83","Korsholm, Julius."
1890,"25,-76","Oehlerich, Frederik."
1873,"25,-92","Erichsen, Fr."
1891,"25,-93","Müller, P. A. E."
1801,"17,-180","Galeotti, Vincenzo."
1816,"55,-141","Ingemann, B. S."
1817,"56,-345","Planard, Franç. Ant. Eugéne de."
1803,"56,-47","Kotzebue, Aug. v."
1830,"57,-449","Schulze, F. A."
1829,"49,-27","Christianson, P. H."
1857,"57,-373m","Bremer, Fredrika."
1800,"57,-444","Lafontaine, Aug."
1820,"56,-165","D ambreville, Joseph Desessarts."
1819,"56,-200",Desaugiers.
1827,"55,-92","Heiberg, Johan Ludvig."
1822,"58,-240","Cottin, Sophie."
1801,"55,-68","Falsen, E."
1802-1803,"57,-389","Bertrand, Gottl."
1801,"56,-211",Dumaniant.
1803,"56,-262","Marsollier des Vivetières, Benoît-Joseph."
1812,"56,-227","Federici, Camillo."
1812,"56,-49","Kotzebue, A. v."
1803-04,"57,-152","Handrup, Poul."
1824,"57,-25","Tieck, Ludwig."
1893,"47,-181","Holm, P. A."
1892,Særtrykssamlingen,"Hansen, K."
1883,"47,-181","Holm, P. A."
1881,"33,-110","Hattensen, Vilh."
1888,"47,-181","Holm, P. A."
1883,"31,-119","Winkel Horn, Fr."
1899,"1,-348","Hansen, Vald. J."
1866,"52,-88","Holm, P. E."
1884,"45,-99","Hansen, Vald."
1824,"21,-91","Fabricius, Otto."
1875,"5,-97","Holm, P. E."
1886,"31,-179","Hauberg, P."
1874,"4,-269","Holmgreen, J. V."
1878,"40:2,-399","Hansen, K."
1896,"1,-381","Hastings, H. L."
1887,"32,-153","Hammerich, H."
